Artist,Track,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,0
John Tchicai,Faroe Cave Song,0.0597,0.431,89920,0.502,0.869,4,0.59,-27.991,1,0,0.0924,114.987,1,0.286,
Suicidal Tendencies,It's Going Down,0.000136,0.355,266101,0.961,0.00637,9,0.129,-6.309,1,23,0.126,164.874,4,0.261,
Bert Kaempfert,Cha Cha Brasilia,0.175,0.903,151267,0.803,0.454,10,0.0848,-8.864,1,5,0.0591,122.436,4,0.978,
ColdWorld,Schmerzensschreie,0.2,0.255,345173,0.429,0.92,2,0.106,-5.255,0,17,0.0834,135.161,4,0.0376,
The Chap,Gimme Legs,0.00542,0.766,213880,0.563,0.202,2,0.243,-7.384,0,2,0.0348,120.158,4,0.823,
David Banner,Bush,0.0531,0.787,180547,0.848,0,6,0.105,-3.313,1,11,0.325,149.138,4,0.902,
The Rapture,The Devil,0.696,0.48,429053,0.953,0,1,0.899,-4.668,0,27,0.836,89.861,4,0.323,
Ice,Shining,0.0596,0.812,69707,0.652,0.974,7,0.27,-10.102,1,13,0.164,100.129,4,0.696,
Adam Ant,Friend Or Foe,0.0289,0.624,209213,0.991,0.0107,1,0.0477,-3.467,0,51,0.135,95.472,4,0.535,
Rainbow,Can't Happen Here,0.0517,0.483,297267,0.89,0.000421,0,0.658,-6.736,1,29,0.048,155.663,4,0.666,
Pee Wee Crayton,Pee Wee's Boogie,0.92,0.394,163160,0.677,0.503,9,0.0744,-10.477,0,0,0.0548,163.302,4,0.529,
Gabinete Caligari,Caray!,0.197,0.595,183866,0.811,0.00932,4,0.119,-4.344,0,20,0.045,145.395,4,0.593,
Marc Perrone,La marine,0.786,0.622,204107,0.516,0,2,0.431,-8.074,0,5,0.0359,108.116,3,0.629,
Ancient Astronauts,Crescent Moon,0.186,0.532,330707,0.335,0.863,10,0.317,-7.361,0,15,0.0611,136.064,4,0.109,
Basic Channel,Radiance I,0.79,0.408,239600,0.515,0.984,3,0.23,-15.666,1,12,0.0473,137.86,4,0.0797,
Symphony in Peril,Inherent Scars,0.00104,0.496,245240,0.658,0.754,11,0.116,-6.425,0,5,0.0371,99.986,4,0.0388,
Usher,Trading Places,0.000153,0.696,268240,0.643,1.03E-05,0,0.156,-5.218,1,56,0.0447,146.005,4,0.332,
Greg Vaccariello,Mom's Phone,0.375,0.451,133700,0.682,3.70E-06,1,0.66,-11.234,1,0,0.898,79.274,3,0.385,
Wailing Souls,I Am a Rasta Man,0.338,0.899,215407,0.23,1.31E-06,10,0.0461,-16.833,0,15,0.204,130.358,4,0.824,
J.C. Lodge,Dub It,0.189,0.731,286800,0.458,0.145,9,0.057,-11.43,0,0,0.0554,76.261,4,0.809,
Mike Brooks,Woman of Shiloh,0.322,0.835,129680,0.408,0.00335,11,0.11,-11.739,1,0,0.222,139.21,4,0.727,
Kathy Mattea,The Southern Soldier Boy,0.786,0.483,154133,0.269,0,11,0.181,-12.193,0,23,0.0276,96.914,3,0.413,
This Moment,Bon Demain,0.000132,0.334,213200,0.828,0.0248,7,0.207,-7.297,1,0,0.0485,115.642,4,0.344,
The Fabulous Thunderbirds,When I Get Home,0.389,0.506,287667,0.346,0.000107,10,0.0515,-11.902,1,1,0.0386,133.453,3,0.628,
The Perrys,He's Leading The Way,0.177,0.74,115160,0.881,5.41E-06,4,0.089,-7.654,1,1,0.0459,107.919,4,0.785,
Small Faces,It's Too Late,0.5,0.465,157507,0.867,6.03E-06,2,0.0744,-3.82,1,17,0.0637,125.026,4,0.701,
Enter the Haggis,Widow's Walk,0.0622,0.387,384453,0.534,0.000205,7,0.047,-10.516,0,6,0.0306,134.249,4,0.293,
George Lopez,Memories,0.905,0.381,153507,0.697,0,2,0.892,-14.538,1,25,0.946,73.571,3,0.408,
Stephen Marley / Damian Marley,The Traffic Jam,0.448,0.799,220613,0.634,0,1,0.0706,-7.136,0,46,0.371,94.884,4,0.723,
White Heart,Edge Of The Dream (Emergency Broadcast Album Version),0.0808,0.646,274467,0.511,0.000979,5,0.203,-12.571,1,4,0.0383,81.438,4,0.604,
Jo-El Sonnier,Broken Hearted Side Of New Orleans,0.154,0.559,195960,0.408,0.00116,4,0.175,-9.106,1,0,0.0331,72.621,4,0.183,
Steinski,Hot Spot (Terrible Love Mix),0.00248,0.893,169973,0.57,0.000405,1,0.0587,-13.036,1,4,0.277,92.662,4,0.63,
Chuck Wicks,If We Loved,0.288,0.307,222013,0.714,1.43E-05,1,0.11,-4.969,1,12,0.0395,198.155,4,0.301,
Yahir,Pasa el tiempo,0.781,0.612,285293,0.34,0,9,0.126,-8.228,1,12,0.0282,128.024,4,0.184,
Lexi,Dial Me,0.695,0.708,220507,0.0551,0,0,0.127,-24.757,0,0,0.881,114.242,4,0.297,
Cali,Resistance,0.00199,0.621,230675,0.919,0.141,11,0.0939,-3.931,0,0,0.0314,127.998,4,0.112,
Tommy Sands,Sing Boy Sing,0.723,0.542,145640,0.635,0,8,0.191,-9.839,1,3,0.0873,96.599,4,0.382,
Beyonc̩,Irreplaceable (Irreemplazable),0.0941,0.627,227667,0.705,6.61E-06,10,0.178,-3.539,1,40,0.231,175.861,4,0.615,
DJ Harry,Shadows,0.102,0.624,310133,0.678,0.0579,9,0.0864,-7.301,1,5,0.044,91.046,4,0.396,
Babbie Mason,Isn't That Just Like God (Medium Key Performance Track Without Background Vocals),0.765,0.652,237493,0.191,0.883,5,0.0741,-17.211,1,0,0.0381,70.525,4,0.107,
Rated R,Shoulda Did,0.027,0.966,247947,0.681,0,1,0.0669,-3.285,0,1,0.172,104.987,4,0.939,
Diamanda Galas,Vena Cava 8,0.634,0.234,191760,0.00246,0.00239,11,0.271,-54.909,0,0,0.0499,98.745,3,0.0346,
Black Eyed Peas / Terry Dexter,Magic,0.0654,0.869,275093,0.769,2.98E-06,7,0.0552,-3.479,1,20,0.0554,103.644,4,0.917,
Beenie Man,Imagination,0.34,0.65,228827,0.683,0,5,0.109,-5.298,0,8,0.174,79.943,4,0.935,
Be Bop Deluxe,Between The Worlds,0.00517,0.263,197840,0.888,0.0199,9,0.312,-8.28,0,7,0.0754,144.396,4,0.547,
Rolfe Kent,A Night at Mahmoud's,0.932,0.169,112173,0.0288,0.73,2,0.113,-30.225,0,1,0.035,67.717,3,0.0907,
Nu Flavor,Sprung (Cibola Mix W/ Rap),0.00217,0.897,242400,0.629,0.000375,11,0.0648,-5.411,0,0,0.111,96.014,4,0.709,
Maurice Chevalier,La Romance De La Pluie,0.981,0.468,266710,0.644,0.00666,0,0.67,-9.092,1,0,0.137,139.037,4,0.762,
P.O.D.,Ya Mama (Palm Springs Demo),1.73E-05,0.261,188933,0.909,0.00185,1,0.365,-5.306,1,14,0.0567,180.177,4,0.42,
Mystery,Faith,0.732,0.167,335908,0.457,0.953,8,0.0993,-12.308,0,39,0.0332,73.061,4,0.0722,
Jacques Douai,Chanson De La Patience,0.978,0.481,140133,0.0596,2.59E-06,4,0.127,-19.423,0,0,0.0606,77.143,4,0.445,
Buju Banton,Searching,0.206,0.723,253960,0.87,0,2,0.214,-7.348,1,14,0.185,172.828,4,0.854,
Jacques Douai,Le Dormeur du Val,0.994,0.379,192240,0.0712,7.08E-05,2,0.091,-17.362,1,0,0.0396,135.541,3,0.0735,
Bill Douglas,Sapphire,0.867,0.406,273973,0.402,0.863,5,0.0735,-16.125,1,1,0.0425,96.723,3,0.601,
Legacy Five,The Blood Covers It All (Live),0.807,0.606,286240,0.434,0,3,0.513,-10.787,1,2,0.495,134.398,3,0.544,
The Del McCoury Band,Led By the Master's Hand,0.451,0.579,174453,0.702,4.48E-06,0,0.33,-8.28,1,2,0.0284,140.804,4,0.946,
Walter Jackson; Arranged & conducted by Riley Hampton,Moonlight In Vermont,0.804,0.385,210907,0.268,0,3,0.244,-13.039,1,1,0.0364,113.297,4,0.292,
J Bostron & Beretta,Now U Got It,0.505,0.46,320949,0.931,0.01,7,0.119,-5.325,1,0,0.65,174.051,4,0.188,
Mark Ashley,I've never been so Lonely,0.12,0.716,202840,0.798,6.83E-06,9,0.111,-5.22,0,16,0.0411,130.07,4,0.709,
Vanessa Daou,Evening,0.212,0.686,220067,0.519,0.00534,1,0.112,-12.253,1,3,0.0405,144.91,4,0.355,
Laidback Luke & Diplo,Hey!,0.000274,0.951,396870,0.599,0.718,7,0.0641,-7.016,1,0,0.275,126.009,4,0.354,
Joe Satriani,Midnight,0.77,0.454,102680,0.449,0.72,4,0.175,-12.272,0,37,0.0486,162.207,4,0.155,
Steve Vai,Brother,0.534,0.5,304707,0.528,1.00E-05,5,0.135,-7.46,1,17,0.0305,113.847,3,0.217,
Burning Spear,Civilized Reggae,0.00141,0.838,347200,0.412,0.0298,11,0.115,-13.999,0,15,0.116,125.685,4,0.638,
Los Del Rio,Macarena,0.422,0.927,249382,0.721,4.36E-05,8,0.0422,-12.561,1,60,0.0908,103.018,4,0.965,
Wes King,Cover To Cover,0.0174,0.703,233400,0.63,0,7,0.298,-7.832,1,8,0.0304,118.185,4,0.766,
Jefferson Starship,Let me fly,0.0643,0.421,298200,0.732,2.57E-06,2,0.7,-11.702,1,0,0.0563,130.251,4,0.647,
Ronny Eriksson,En fet man,0.884,0.634,209240,0.462,2.27E-05,8,0.316,-13.411,1,3,0.656,106.175,4,0.728,
John Mayall,Now I Got A Woman,0.401,0.779,262053,0.64,0.118,2,0.215,-6.697,0,3,0.0394,147.283,4,0.961,
Gary Moore,Nothing's The Same,0.699,0.207,306667,0.201,0.279,9,0.199,-17.184,0,20,0.0304,168.194,3,0.0787,
Spiral Stairs,Stolen Pills,3.75E-06,0.2,147043,0.966,0.263,3,0.199,-5.717,0,1,0.0546,152.514,4,0.914,
Attack Attack,Outro,0.993,0.545,83973,0.131,0.892,1,0.0985,-19.692,0,26,0.0399,100.06,4,0.0535,
Mighty Mighty Bosstones,Patricia,1.53E-06,0.312,168867,0.913,0.71,1,0.0573,-9.63,1,14,0.0418,98.667,4,0.599,
Twinkle Twinkle Little Rock Star,A Dustland Fairytale,0.593,0.583,240546,0.184,0.934,2,0.106,-19.261,1,10,0.0731,160.094,4,0.249,
The Booth Brothers,Through The Eyes Of Faith,0.104,0.569,245107,0.924,3.58E-06,0,0.255,-4.021,1,9,0.0363,131.012,4,0.709,
Vivian Khor,Loves Parting,0.989,0.343,253067,0.169,0.935,8,0.123,-18.689,0,0,0.0577,91.311,3,0.0458,
Anne Dudley,Still Lost in the Forest,0.907,0.102,177387,0.173,0.327,4,0.116,-19.081,0,2,0.0366,89.476,4,0.0366,
The Mustangs,So Many Roads,0.0503,0.503,174587,0.613,9.00E-06,7,0.35,-8.964,1,0,0.0308,117.226,4,0.533,
Michael Jackson,We're Almost There,0.0989,0.573,227147,0.853,0,11,0.299,-9.047,1,27,0.071,93.524,4,0.776,
Marc Shaiman,Blame Canada ( From: South Park ),0.989,0.738,106760,0.289,0.896,5,0.0993,-14.28,1,20,0.0583,136.798,4,0.581,
K-OS,B-Boy Stance,0.199,0.768,240013,0.874,0,0,0.0789,-5.766,0,16,0.248,98.038,4,0.843,
Eberhard Weber,Unfinished Self-Portrait,0.903,0.713,274560,0.0405,0.924,8,0.1,-25.847,1,5,0.0308,99.352,4,0.518,
Jimmy Herring,Lifeboat Serenade,0.28,0.582,360320,0.534,0.803,7,0.145,-9.657,1,9,0.0268,124.091,4,0.261,
The Continentals,Christmas Time,0.656,0.513,167373,0.406,7.73E-05,2,0.101,-8.534,1,0,0.0244,90.139,3,0.0802,
Neil Diamond,Song Sung Blue,0.467,0.556,195160,0.327,1.32E-05,0,0.318,-15.612,1,56,0.0311,108.913,4,0.327,
45 Grave,Party Time,0.00051,0.49,191907,0.815,0.000454,8,0.513,-5.569,1,8,0.0335,127.988,4,0.611,
J.B. Lenoir,I Feel So Good,0.508,0.836,114573,0.616,2.93E-05,11,0.133,-6.614,0,31,0.0524,130.04,4,0.891,
Tesla,Gettin' Better,0.103,0.562,200707,0.657,0,2,0.255,-11.185,1,42,0.0868,126.728,3,0.263,
Charlie Rich,You Don't Know Me,0.791,0.483,274933,0.139,2.64E-05,8,0.306,-17.899,1,9,0.0542,185.111,3,0.197,
Claw Hammer,Warm Spring Night,0.00138,0.282,264933,0.877,0.0202,11,0.0569,-7.028,0,0,0.101,106.946,4,0.534,
The Ataris,The Hero Dies in This One,0.000841,0.447,246867,0.876,4.12E-05,2,0.104,-4.504,1,28,0.0403,145.774,4,0.467,
The Field Mice,Below The Stars,0.0605,0.425,332893,0.344,0.902,7,0.115,-10.356,1,10,0.0315,140.126,4,0.285,
White Heart,Sing Your Freedom,0.0668,0.506,296789,0.772,2.26E-05,11,0.13,-10.581,0,16,0.0522,126.058,4,0.305,
Singing Melody,All They Want,0.105,0.72,221453,0.6,0,6,0.0721,-6.282,0,2,0.275,166.666,4,0.798,
The Rolling Stones,Around And Around,0.456,0.317,183147,0.607,5.36E-05,2,0.288,-11.862,1,36,0.0647,185.991,4,0.747,
The Rongetz Foundation,NY Timbuctu,0.343,0.396,456640,0.757,0.661,8,0.0724,-8.084,1,0,0.0419,136.794,4,0.729,
Kassav',Loko,0.0798,0.656,333200,0.816,5.35E-05,8,0.208,-6.309,1,5,0.12,195.962,4,0.694,
Elephant Man,Bruk Out and Wine,0.0709,0.686,155987,0.687,0,10,0.383,-7.773,1,2,0.538,126.018,5,0.893,
The Cate Brothers,Let It Be,0.652,0.628,205147,0.485,0.105,2,0.13,-9.529,1,0,0.0361,153.134,4,0.726,
Tracy Byrd,Walkin' In,0.402,0.612,179893,0.843,0,11,0.199,-8.273,1,4,0.0465,84.461,4,0.801,
Santana,Acapulco Sunrise,0.0358,0.387,155773,0.799,0.741,5,0.123,-8.743,1,10,0.0459,140.431,4,0.875,
Mustafa Sandal,Iki Tas Corba,0.726,0.627,227733,0.559,0.00191,8,0.147,-13.018,0,20,0.039,170.096,4,0.752,
Johannes Linstead,Guayabera,0.608,0.955,294747,0.885,0.707,0,0.0522,-6.919,0,11,0.0705,114.995,4,0.715,
Dorothy Norwood,Packing Up,0.498,0.515,339160,0.93,0,7,0.354,-6.163,1,4,0.127,198.025,4,0.658,
Fania All Stars,Donde,0.388,0.719,290093,0.692,0.735,0,0.0733,-7.392,0,2,0.0404,76.656,4,0.837,
Otis Spann,Must Have Been The Devil,0.745,0.497,161493,0.292,0.0098,4,0.0954,-17.914,0,24,0.0596,150.943,4,0.842,
Kool Moe Dee,I Go To Work,0.137,0.847,282093,0.828,1.53E-06,6,0.101,-12.497,1,40,0.0795,125.764,4,0.451,
Lee Ritenour,Is It You?,0.584,0.715,269653,0.384,0.00758,10,0.285,-16.362,1,50,0.0457,82.365,4,0.818,
Jaguares,El Momento,0.277,0.528,302827,0.563,0.107,9,0.12,-10.355,0,22,0.0313,119.055,4,0.356,
Oak Ridge Boys,My Saviour Is Lord,0.819,0.491,125760,0.313,0.000322,0,0.184,-13.954,1,0,0.0269,105.551,4,0.71,
Reni,Nema Dana Ni Meseca,0.315,0.776,194227,0.95,0,5,0.119,-2.21,0,0,0.0398,130.086,4,0.923,
Raphael,Cantares,0.699,0.334,242240,0.906,0,8,0.982,-5.969,1,7,0.323,116.948,4,0.648,
Fiona,Why,0.923,0.479,316840,0.0753,8.60E-06,10,0.153,-15.351,1,45,0.0382,111.651,4,0.157,
Cargo Cult,Helium,0.112,0.635,242080,0.725,0.497,8,0.0805,-7.899,1,0,0.0337,144.008,4,0.742,
Lord Sterling,Poison Lips,0.000113,0.202,315160,0.895,0.0569,6,0.131,-6.822,0,0,0.0874,142.454,4,0.419,
Forensics,I Need To Talk To Hank Hank,0.704,0.204,415453,0.12,0.908,4,0.108,-23.5,0,0,0.0405,144.05,4,0.0265,
Gerard Lenorman,Soldats Ne Tirez Pas,0.552,0.606,191547,0.592,0,9,0.643,-11.362,0,6,0.0542,111.939,4,0.848,
Cama,Walk With You,0.165,0.857,184533,0.691,0.000177,4,0.0936,-4.323,1,0,0.0324,93.048,4,0.964,
Anat Ben David,Robot Kid,0.00124,0.359,132933,0.87,0,1,0.117,-4.786,0,0,0.294,218.425,4,0.28,
Arturo Sandoval,Almendra,0.776,0.545,275720,0.251,0.848,5,0.0919,-13.524,1,0,0.101,138.78,4,0.735,
Novika,Mikawa Miya,0.17,0.623,268853,0.593,0.00263,0,0.208,-9.747,1,1,0.0493,89.993,4,0.522,
Eldar,Dat Dere,0.675,0.498,579080,0.257,0.825,2,0.27,-17.259,1,5,0.059,135.064,4,0.155,
Oldelaf et Monsieur D,Rue de Nantes,0.545,0.587,250360,0.45,0,7,0.0776,-8.471,1,25,0.104,129.242,3,0.689,
The Fabulous Thunderbirds,Please Don't Lie To Me,0.476,0.613,128840,0.796,4.96E-06,6,0.131,-6.901,1,16,0.293,147.58,4,0.799,
Hey Colossus,45 Pounds,0.358,0.0914,251827,0.539,0.792,5,0.14,-9.841,1,0,0.0391,205.724,4,0.158,
Sonora Carruseles,Chela,0.427,0.723,220800,0.699,0.6,1,0.0841,-10.77,1,2,0.056,105.238,4,0.717,
Eddy Raven,I Know That Car,0.555,0.676,201587,0.311,0,10,0.0775,-14.415,1,7,0.0293,105.939,4,0.29,
Finntroll,Kitteldags,7.87E-06,0.442,125467,0.916,0.00156,6,0.397,-5.641,0,9,0.104,111.036,4,0.787,
Tanto Metro & Devonte,The Story (get It On),0.147,0.752,240773,0.741,0,7,0.448,-6.197,1,1,0.259,77.283,4,0.713,
Bounty Killer,Coppershot,0.0326,0.904,220853,0.834,0,9,0.0621,-5.415,1,9,0.392,142.87,4,0.846,
Jose Luis Perales,El Amor,0.543,0.408,251520,0.531,0.000198,2,0.223,-5.601,0,49,0.0256,98.025,4,0.446,
El Poder del Norte,Negocio Prohibido,0.309,0.772,223000,0.447,0,5,0.0487,-10.16,0,23,0.164,86.018,4,0.883,
Tony Matterhorn,Dutty Wine,0.13,0.528,193413,0.866,0,5,0.153,-6.39,0,43,0.383,158.531,3,0.91,
Story Of The Year,Won Threw Ate,0.00143,0.42,224427,0.99,0,5,0.399,-3.571,0,20,0.162,144.038,3,0.125,
Brazilian Tropical Orchestra,Baby,0.384,0.507,197467,0.215,0.746,11,0.116,-15.219,0,0,0.0449,101.994,4,0.502,
Tyrone Taylor,Happiness Is Loving You,0.276,0.655,180400,0.728,0.000131,4,0.196,-5.958,1,2,0.0684,79.748,4,0.929,
4 Skins,Bread Or Blood (Single),2.44E-06,0.161,170533,0.867,0.942,4,0.12,-8.152,0,5,0.0997,203.335,4,0.629,
Robben Ford,The Champ,0.000393,0.723,205280,0.755,0.451,5,0.0606,-5.637,0,11,0.0342,126.977,4,0.537,
White Heart,Hold On,0.506,0.644,181280,0.468,0,10,0.112,-9.258,1,10,0.0257,147.795,4,0.882,
Ximena Sarinana,Mediocre (Version original),0.953,0.513,218053,0.124,0,1,0.105,-9.417,1,6,0.0423,175.48,3,0.551,
Busta Rhymes,Taste It,0.0822,0.788,226333,0.786,0,1,0.274,-8.241,1,19,0.301,98.13,4,0.711,
Fontella Bass,You've Lost That Lovin' Feelin',0.48,0.382,204613,0.496,0.186,5,0.101,-9.929,1,11,0.0268,103.777,4,0.638,
Rhinostar,Einfach,0.000571,0.429,207587,0.893,0.15,3,0.255,-4.647,1,0,0.0374,179.989,4,0.332,
Old Man's Child,Towards Eternity,8.36E-06,0.24,317960,0.909,0.612,7,0.102,-7.316,0,23,0.0557,95.041,4,0.127,
Patty Griffin,Moses,0.876,0.52,208200,0.362,0,4,0.104,-6.521,1,28,0.0292,96.092,4,0.321,
Satan's Host,Infernal Calling,0.000764,0.153,412053,0.932,0,7,0.332,-4.309,1,0,0.0975,134.847,4,0.134,
Mississippi Mass Choir,Having You There,0.212,0.33,332773,0.698,0,8,0.684,-11.674,1,34,0.0994,164.585,4,0.529,
Through the Eyes of the Dead,Outro,0.449,0.386,41560,0.0228,0.759,1,0.112,-33.416,1,9,0.0579,196.021,4,0.0399,
Johnny Otis,Lovers Lane Boogie,0.931,0.604,150933,0.141,5.10E-05,5,0.094,-15.447,0,0,0.0345,100.399,4,0.635,
Finest Dearest,Naming Ceremony,0.126,0.657,299760,0.747,0.0544,6,0.0992,-7.109,0,0,0.0345,121.043,4,0.366,
Jazz Gillum,Gillum Blues,0.981,0.743,178495,0.357,0.000567,10,0.199,-13.057,1,0,0.0885,88.44,4,0.701,
Neema,Goodfellas,0.00537,0.518,227173,0.503,0,10,0.57,-13.017,0,1,0.328,136.151,4,0.833,
Sound 5,Ala Kaboo (Idjut Boy's H-Bar Mix),0.0651,0.728,469573,0.84,0.338,2,0.139,-11.394,1,0,0.0508,122.049,4,0.743,
Gran Coquivacoa,Hechizo,0.296,0.646,188900,0.717,0,9,0.095,-9.431,1,0,0.0694,138.358,3,0.963,
Fergie,London Bridge,0.216,0.769,241307,0.609,0,1,0.166,-5.894,1,61,0.357,90.951,4,0.633,
Erick Sermon,Safe Sex,0.0008,0.74,223422,0.515,0,1,0.633,-9.824,1,11,0.265,98.747,4,0.732,
40 Grit,A Part Of Me,0.469,0.477,250868,0.727,0.435,9,0.114,-9.038,0,0,0.0284,148.337,4,0.473,
Bob Azzam,Guarda Che Luna,0.702,0.536,105733,0.736,0,0,0.253,-5.543,1,6,0.0505,126.248,3,0.609,
Scott Glasgow,Space Station Liberty,0.57,0.143,222760,0.534,0.906,1,0.148,-13.601,1,1,0.0827,78.462,4,0.0579,
Poncho Sanchez,Manteca,0.58,0.548,350307,0.625,0.5,5,0.0962,-15.924,0,19,0.0682,109.543,4,0.889,
Livingston Taylor,Tell Jesus [To Come To My House],0.878,0.53,289120,0.312,0,3,0.123,-12.522,1,1,0.0684,124.877,4,0.554,
Papa Wemba,Zero,0.129,0.653,201933,0.642,0,1,0.188,-13.638,1,3,0.0303,147.038,3,0.969,
Onyx,Wet The Club,0.0694,0.734,254373,0.844,0,1,0.121,-5.261,0,6,0.407,82.424,4,0.797,
Jennifer Lopez,Por Arriesgarnos,0.663,0.377,211800,0.481,0,4,0.0965,-9.676,1,29,0.0507,150.514,4,0.197,
Joe Grushecky,A Fool's Advice,0.3,0.539,287533,0.676,0.00748,11,0.298,-7.149,0,1,0.0558,188.001,4,0.594,
THE CHIFFONS,One Fine Day,0.488,0.251,128200,0.868,7.34E-06,1,0.814,-2.685,1,61,0.128,177.13,4,0.599,
Spitfire,Tanzen,0.0796,0.845,200227,0.949,0.0504,10,0.141,-3.845,1,0,0.0529,154.93,4,0.884,
Equilibrium,Prolog auf Erden,0.000164,0.12,219040,0.872,0.928,0,0.0982,-3.558,1,22,0.0493,94.203,3,0.123,
Martha Wainwright,Who Was I Kidding,0.679,0.388,250227,0.228,9.00E-05,7,0.109,-9.105,1,17,0.032,79.006,4,0.168,
The Rolling Stones,Rocks Off,0.0639,0.485,271933,0.943,0.179,4,0.144,-4.423,1,54,0.0416,141.982,4,0.889,
Kat DeLuna,Run The Show featuring Don Omar [en Espanol],0.0858,0.759,213480,0.829,0.00016,10,0.289,-5.307,0,38,0.0353,104.991,4,0.235,
Atom,Strikes-3,0.0268,0.696,441680,0.721,0.931,6,0.0999,-9.859,0,0,0.056,126.978,4,0.398,
Artie Fishel & The Promised Band,Watermelon Man (What A Mellow Goy),0.0935,0.497,145827,0.713,0.524,10,0.121,-6.558,1,0,0.0443,155.061,4,0.909,
Johnny Horton,Got The Bull By The Horns,0.529,0.724,112027,0.575,0,9,0.123,-13.687,1,27,0.0415,83,4,0.957,
Fat Joe,Words With Fat Joe,0.616,0.75,37640,0.292,0,1,0.262,-13.52,1,18,0.949,93.794,3,0.699,
L.A. Guns,Some Lie For Love,0.0386,0.6,215773,0.871,0.000311,2,0.0505,-9.605,1,16,0.0439,133.597,4,0.439,
Demonbreed,Lifewalk,4.88E-05,0.199,308907,0.904,0.119,1,0.256,-5.018,1,0,0.0626,82.721,4,0.331,
XLNC,Vaisakhi Wala Mela,0.0873,0.644,241373,0.804,0.000144,2,0.224,-15.17,1,0,0.0667,93.925,4,0.903,
Enrique Iglesias,Si Juras Regresar,0.256,0.513,264000,0.408,0.000159,9,0.0936,-9.183,1,47,0.0325,141.409,4,0.145,
Britt Nicole,Don't Worry Now (Performance Track In Key Of Db Without Background Vocals),0.894,0.251,245893,0.317,0.763,1,0.118,-13.221,1,1,0.028,79.785,4,0.0678,
The Plasmatics,Summer Nite,0.0668,0.447,286907,0.876,0.000881,11,0.688,-4.282,1,8,0.0549,119.131,4,0.443,
Connie Smith,If I Talk To Him,0.721,0.516,146750,0.395,0,10,0.078,-10.195,1,20,0.0373,141.613,4,0.772,
Amy Lambert,Because He Loves Me,0.464,0.556,288667,0.337,0,4,0.0855,-10.664,1,0,0.0274,108.39,3,0.199,
Torcuato Mariano,Black and Blue,0.606,0.517,295040,0.383,0.106,2,0.482,-11.985,0,6,0.0311,90.104,3,0.111,
Dobby Dobson,A True Friend,0.0381,0.681,193920,0.701,1.42E-05,9,0.157,-6.843,0,3,0.0377,164.053,4,0.682,
Baby Bash / Grimm,Changed My Life,0.312,0.917,231107,0.731,0.00213,11,0.29,-4.777,0,18,0.13,89.503,4,0.741,
Carl Smith,Loose Talk,0.727,0.743,152587,0.455,0,2,0.26,-10.84,1,10,0.0369,113.381,4,0.964,
Rise Against,Intro/Chamber The Cartridge,0.000301,0.249,214907,0.995,8.15E-05,8,0.326,-4.016,1,36,0.358,164.292,4,0.183,
Martriden,Blank Eye Stare,3.66E-05,0.197,431600,0.961,0.598,5,0.0933,-4.566,0,1,0.108,138.361,4,0.198,
Fredi,Laula kanssain,0.745,0.61,243720,0.523,1.11E-05,0,0.146,-5.716,0,0,0.0292,121.061,4,0.722,
Patsy Cline,I Cried All The Way To The Altar,0.621,0.484,148400,0.23,0,7,0.0691,-8.025,1,15,0.029,92.665,4,0.5,
D:Fuse,Living The Dream,0.00344,0.635,521387,0.979,0.55,7,0.361,-7.4,1,5,0.129,133.068,4,0.386,
Janet Jackson,Hold On Baby,0.0501,0,10310,0.687,0.954,9,0.501,-35.078,0,0,0,0,0,0,
James Newton Howard,U North,0.713,0.464,109067,0.131,0.903,2,0.101,-32.591,1,15,0.0428,129.091,1,0.0225,
Daryl Hall & John Oates,Everything Your Heart Desires,0.157,0.706,300467,0.861,1.29E-06,10,0.256,-5.774,1,38,0.0411,99.992,4,0.887,
Max Steiner,Main Title / The Searchers,0.846,0.138,93533,0.22,0.306,9,0.159,-13.962,1,13,0.0367,74.608,4,0.224,
Angel Romero,Prelude No. 2 (2000 Digital Remaster),0.995,0.385,110000,0.0197,0.933,4,0.0978,-30.037,1,2,0.0493,60.312,3,0.172,
Gaetano Donizetti,Donizetti: Roberto Devereux: Ah! Ritorna qual ti spero....,0.974,0.51,164360,0.177,2.83E-05,7,0.792,-16.481,1,2,0.0796,125.302,4,0.43,
Incubus,Warning,0.00143,0.504,278733,0.522,0.000236,4,0.0958,-8.297,1,55,0.0259,81.047,4,0.222,
Juliette & The Licks,Shelter Your Needs,0.000108,0.38,238000,0.953,0,7,0.477,-3.542,1,9,0.233,156.813,4,0.524,
Aesop Rock,Limelighters (feat. Camp Lo) / Flunkadelic Interlude,0.18,0.544,273600,0.721,0,10,0.232,-7.722,0,21,0.84,86.332,4,0.723,
Paul Avgerinos,Gnosis,0.852,0.147,423600,0.216,0.977,9,0.117,-21.884,1,1,0.0366,138.744,4,0.0935,
Angels,Tulip,0.308,0.56,221680,0.652,0,7,0.0924,-5.951,1,0,0.0306,103.059,4,0.282,
Barbara Fairchild,I'll Meet You In The Morning,0.694,0.563,195427,0.508,0,8,0.0914,-5.859,1,4,0.027,114.78,3,0.63,
The Balustrade Ensemble,Crushed Pears,0.289,0.287,226879,0.163,0.8,2,0.0906,-25.369,1,0,0.0463,139.814,4,0.141,
